Baseline EI score:  0.996668
Baseline UCB score: 0.988837
Baseline PI score:  0.991260
Gen 0 Isl 0 | Score 0.9967 | ValAcc 0.7678 | Th 120.0
Gen 0 Isl 1 | Score 0.9967 | ValAcc 0.7678 | Th 120.0
Gen 0 Isl 2 | Score 0.9967 | ValAcc 0.7678 | Th 120.0
Gen 1 Isl 0 | Score 0.9958 | ValAcc 0.7672 | Th 120.0
Gen 1 Isl 1 | Score 0.9967 | ValAcc 0.7678 | Th 120.0
Gen 1 Isl 2 | Score 0.9967 | ValAcc 0.7678 | Th 120.0
Gen 2 Isl 0 | Score 0.9967 | ValAcc 0.7678 | Th 120.0
Gen 2 Isl 1 | Score 0.9967 | ValAcc 0.7678 | Th 120.0
Gen 2 Isl 2 | Score 0.9967 | ValAcc 0.7678 | Th 120.0
Gen 3 Isl 0 | Score 0.9920 | ValAcc 0.7642 | Th 120.0
Gen 3 Isl 1 | Score 0.9967 | ValAcc 0.7678 | Th 120.0
Gen 3 Isl 2 | Score 0.9894 | ValAcc 0.7622 | Th 120.0
Gen 4 Isl 0 | Score 0.9974 | ValAcc 0.7684 | Th 120.0
Gen 4 Isl 1 | Score 0.9967 | ValAcc 0.7678 | Th 120.0
Gen 4 Isl 2 | Score 1.0218 | ValAcc 0.7680 | Th 117.0
Gen 5 Isl 0 | Score 0.9949 | ValAcc 0.7664 | Th 120.0
Gen 5 Isl 1 | Score 0.9967 | ValAcc 0.7678 | Th 120.0
Gen 5 Isl 2 | Score 0.9950 | ValAcc 0.7666 | Th 120.0
Gen 6 Isl 0 | Score 0.9936 | ValAcc 0.7655 | Th 120.0
Gen 6 Isl 1 | Score 0.9967 | ValAcc 0.7678 | Th 120.0
Gen 6 Isl 2 | Score 0.9950 | ValAcc 0.7666 | Th 120.0
Gen 7 Isl 0 | Score 0.9937 | ValAcc 0.7655 | Th 120.0
Gen 7 Isl 1 | Score 0.9967 | ValAcc 0.7678 | Th 120.0
Gen 7 Isl 2 | Score 0.9970 | ValAcc 0.7681 | Th 120.0
Gen 8 Isl 0 | Score 0.9897 | ValAcc 0.7625 | Th 120.0
Gen 8 Isl 1 | Score 0.9956 | ValAcc 0.7670 | Th 120.0
Gen 8 Isl 2 | Score 0.9950 | ValAcc 0.7666 | Th 120.0
Gen 9 Isl 0 | Score 0.9945 | ValAcc 0.7662 | Th 120.0
Gen 9 Isl 1 | Score 0.9956 | ValAcc 0.7670 | Th 120.0
Gen 9 Isl 2 | Score 1.1732 | ValAcc 0.7690 | Th 99.0
Gen 10 Isl 0 | Score 0.9902 | ValAcc 0.7629 | Th 120.0
Gen 10 Isl 1 | Score 0.9956 | ValAcc 0.7670 | Th 120.0
Gen 10 Isl 2 | Score 0.9962 | ValAcc 0.7675 | Th 120.0
Gen 11 Isl 0 | Score 0.9923 | ValAcc 0.7645 | Th 120.0
Gen 11 Isl 1 | Score 0.9967 | ValAcc 0.7678 | Th 120.0
Gen 11 Isl 2 | Score 0.9960 | ValAcc 0.7673 | Th 120.0
Gen 12 Isl 0 | Score 0.9909 | ValAcc 0.7634 | Th 120.0
Gen 12 Isl 1 | Score 0.9931 | ValAcc 0.7651 | Th 120.0
Gen 12 Isl 2 | Score 0.9961 | ValAcc 0.7674 | Th 120.0
Gen 13 Isl 0 | Score 0.9923 | ValAcc 0.7645 | Th 120.0
Gen 13 Isl 1 | Score 0.9967 | ValAcc 0.7678 | Th 120.0
Gen 13 Isl 2 | Score 0.9968 | ValAcc 0.7679 | Th 120.0
Gen 14 Isl 0 | Score 0.9933 | ValAcc 0.7652 | Th 120.0
Gen 14 Isl 1 | Score 0.9967 | ValAcc 0.7678 | Th 120.0
Gen 14 Isl 2 | Score 0.9937 | ValAcc 0.7655 | Th 120.0
Gen 15 Isl 0 | Score 0.9865 | ValAcc 0.7600 | Th 120.0
Gen 15 Isl 1 | Score 0.9967 | ValAcc 0.7678 | Th 120.0
Gen 15 Isl 2 | Score 0.9959 | ValAcc 0.7673 | Th 120.0
Gen 16 Isl 0 | Score 0.9938 | ValAcc 0.7656 | Th 120.0
Gen 16 Isl 1 | Score 0.9967 | ValAcc 0.7678 | Th 120.0
Gen 16 Isl 2 | Score 1.3019 | ValAcc 0.7676 | Th 83.3
Gen 17 Isl 0 | Score 0.9945 | ValAcc 0.7661 | Th 120.0
Gen 17 Isl 1 | Score 0.9967 | ValAcc 0.7678 | Th 120.0
Gen 17 Isl 2 | Score 1.3019 | ValAcc 0.7676 | Th 83.3
Gen 18 Isl 0 | Score 0.9904 | ValAcc 0.7630 | Th 120.0
Gen 18 Isl 1 | Score 0.9967 | ValAcc 0.7678 | Th 120.0
Gen 18 Isl 2 | Score 1.3019 | ValAcc 0.7676 | Th 83.3
Gen 19 Isl 0 | Score 0.9951 | ValAcc 0.7666 | Th 120.0
Gen 19 Isl 1 | Score 0.9967 | ValAcc 0.7678 | Th 120.0
Gen 19 Isl 2 | Score 1.3019 | ValAcc 0.7676 | Th 83.3
